year,operator,route,ac_type,collision,registration,all_aboard,passengers_on_board,crew_aboard,passenger_fatalities,crew_fatalities,on_air_fatalities,ground,total_fatalities,countries,summary
1925,Military - U.S. Navy,"Lakehurst, Nj - S.T Louis, Mo",Dirigible Zr-1 Shenandoah (Airship),0,Zr-1,43,0,43,0,14,14,0,14,United States,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart."
1925,Us Aerial Mail Service,New York - San Francisco,De Havilland Dh-4,0,385,1,0,1,0,1,1,0,1,United States,Crashed into a wooded area on Mt. Nittany in fog and low visibility.
1926,Air Union,Paris - Cryodon,Breguet 14,0,F-Adai,1,0,1,0,1,1,0,1,United Kingdom,The mail plane crashed into the English Channel and was never found.
1926,Compagnie Internationale De Navigation Aérienne,Paris - Prague - Budapest,Caudron C-61,0,F-Afbt,6,4,2,4,2,6,0,6,Czechoslovakia,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
1926,Klm Royal Dutch Airlines,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,0,H-Nacc,2,1,1,1,1,2,0,2,Belgium,Crashed into the ground while descending in poor weather.
1926,Air Union,"Lebourget, France - Croydon, England",Bleriot 155,0,F-Aieb,15,13,2,2,1,3,0,3,United Kingdom,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
1926,Air Union,Paris - London,Bleriot 155,0,F- Aicq,7,5,2,5,2,7,0,7,United Kingdom,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
1926,Imperial Airways,Croydon - Paris,Handley Page W-10,0,G-Ebms,12,10,2,0,0,0,0,0,United Kingdom,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
1926,Grands Express Aeriens,Casablanca -Dakar,Breguet 14,0,F-Afax,3,3,0,3,0,3,0,3,Morocco,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."
1927,Fokker,Delivery Flight,Fokker F-Vii,0,G-Ebpl,2,0,2,0,2,2,0,2,France,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.
1927,Grands Express Aeriens,Casablanca - Oran,Breguet 14,0,F-Alra,1,0,1,0,1,1,0,1,Morocco,Unknown.
1927,Qantas,Charleville - Tambo - Blackall,De Havilland Dh-9C,0,G-Aued,3,2,1,2,1,3,0,3,Australia,"While attempting to land, the engine failed, the aircraft stalled and crashed."
1927,Deutsche Lufthansa,Charleville - Tambo - Blackall,Fokker Fg Iii,0,D-729,2,1,1,1,1,2,0,2,Germany,Crashed following engine failure.
1927,Deutsche Lufthansa,Kassel - Frankfurt,Junkers F-13,0,D-206,5,3,2,3,2,5,0,5,Germany,Crashed after experiencing engine failure and attempting to make a forced landing.
1927,Klm Royal Dutch Airlines,Croydon - Schiphol,Fokker F-Viii,0,"H-NaduH-Nadu",11,9,2,0,1,1,0,1,United Kingdom,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
1927,Reynolds Airways,Sightseeing,Fokker F-Vii,0,Nc776,12,11,1,6,1,7,0,7,United States,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
1927,Private,Old Orchad Beach - Rome,Fokker F7,0,Nx703,3,1,2,1,2,3,0,3,Atlantic Ocean,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight."
1927,Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,0,D-585,6,4,2,4,2,6,0,6,Germany,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.
1927,Lignes Aeriennes Latecoere,Saint Louis - Dakar,Breguet 14,0,F-Agbn,2,0,2,0,2,2,0,2,Mauritania,The plane crashed while attempting to land at Dakar.
1927,Cidna,Strasbourg - Paris,Farman F-121 Jabiru,0,F-Aibr,1,0,1,0,1,1,0,1,France,The mail plane crashed shortly after taking off.
1927,Aero O-Y,Tallinn - Helsinki,Junkers F-13,0,K-Sald,6,4,2,4,2,6,0,6,Finland,Crashed in the gulf of Finland and never found.
1927,Aeropostale,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,0,F-Afgs,1,0,1,0,1,1,0,1,Spain,A fire erupted aboard the mail plane while en route and crashed.
1927,Latecoere Airlines,Test Flight,Latécoère 23 (Flying Boat),0,F-Aihp,5,0,5,0,5,5,0,5,France,"Suffered structural failure at an altitude of 1,000 ft."
1928,Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild Fc-2,0,Nc3780,3,1,2,1,2,3,0,3,United States,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..
1928,Aeropostale,Buenos Aires - Montevideo,Latecoere 25,0,F-Aikg,2,0,2,0,2,2,0,2,Uruguay,The wing on the mail plane detached from the aircraft and crashed into the sea.
1928,Aeropostale,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Breguet 14,0,F-Aheq,1,0,1,0,1,1,0,1,Algeria,Crashed after experiencing mechanical difficulties.
1928,Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,0,F-Aheq,2,0,2,0,2,2,0,2,Spain,Crashed in unknown circumstances.
1928,Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,0,F-Afhn,1,0,1,0,1,1,0,1,Spain,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.
1928,Air Union,Paris - Croydon,Farman F-60 Goliath,0,F-Aefc,2,0,2,0,2,2,0,2,France,Crashed into the sea while delivering mail in poor weather.
1928,Iberia Airlines,Barcelona - Madrid,Rohrbach Roland,0,M-Cccc,9,7,2,7,2,9,0,9,Spain,Crashed into a field after getting lost in fog.
1928,Ford Air Freight Inc.,Dearborn - Buffalo,Ford 4,0,Nc1492,2,0,2,0,2,2,0,2,United States,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.
1928,Deutsche Lufthansa,Essen - Dortmund - Frankfurt,Junkers F-13,0,D-583,5,4,1,2,1,3,0,3,Germany,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error."
1928,National Air Transport,Chicago - Dallas,Douglas M-4,0,Nc1059,1,0,1,0,1,1,0,1,United States,The mail plane flew into tornado like winds and crashed in a field.
1928,Aero O-Y,Tallinn - Helsinki,Junkers F-13,0,K-Salb,6,4,2,4,2,6,0,6,Finland,Crashed under unknown circumstances
1928,Imperial Airways,Testing,Vickers 74 Vulcan,0,G-Eblb,6,5,1,4,0,4,0,4,United Kingdom,"After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers."
1928,Klm Royal Dutch Airlines,Sightseeing Over Rotterdam,Fokker (Klm) F.Iii,0,H-Nabr,6,5,1,1,0,1,0,1,Netherlands,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven."
1928,British Columbia Airways,Victoria - Seattle,Ford 4-At-B Tri Motor,0,G-Catx,7,5,2,5,2,7,0,7,Canada,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.
1928,Cidna,Toul - Clermont-Ferrand,Bleriot Spad 33,0,F-Aiep,5,2,3,2,3,5,0,5,France,"After taking off the engine failed, the plane stalled and crashed."
1928,Qantas,Adelaide - Longreach,De Havilland Dh.50J,0,G-Auhi,2,0,2,0,1,1,0,1,Australia,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire."
1928,National Parks Airways,Great Falls - Pocatello - Salt Lake City,Fokker Super Universal,0,Nc7242,7,6,1,6,1,7,0,7,United States,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times."
1928,Aeropostale,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,Breguet 14,0,"F-AeejF-Aeej",3,2,1,2,1,3,0,3,Spain,"Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of Llancà,"
1928,Air Union,Paris - Lyon - Marseille,Bleriot Spad 56,0,F-Aimn,2,1,1,0,1,1,0,1,France,The pilot attempted an emergency landing in a muddy field and crashed.
1928,Universal Airlines,Cleveland - Chicago,Hamilton H-47,0,Nc7521,3,2,1,2,1,3,0,3,United States,The mail plane crashed in a heavy snow storm.
1928,Continental Air Lines,Cleveland - Louisville,Travel Air 4000,0,Nc5436,1,0,1,0,1,1,0,1,United States,The mail plane crashed in a heavy snow storm
1928,Sunbeam Air Transport Co.,San Antonio - Amarillo - Tulsa - Denver,Ford 4-At-B Tri Motor,0,Nc7862,5,4,1,4,1,5,0,5,United States,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.
1928,Syndicato Condor,Sightseeing,Dornier Wal,0,P-Baca,14,9,5,9,5,14,0,14,Brazil,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastic limits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately."
1928,Spokane Airways,Colfax - Spokane,Ford Tri-Motor 4,0,Nc7687,5,3,2,3,2,5,0,5,United States,The aircraft crashed while attempting to land in fog.
1928,Deutsche Lufthansa,Cologne -  Berlin,Junkers G-31,0,D-1473,4,1,3,0,3,3,0,3,Germany,"After a fuel line broke in flight, the pilot was forced to make an emergency landing in an open field. On landing, the aircraft crashed, overturned and came to rest in flames."
1928,National Air Transport,Cleveland - Chicago,Douglas M-4,0,Nc790,1,0,1,0,1,1,0,1,United States,The mail plane crashed into an apple tree during a snow storm after the pilot experienced spatial disorientation.
1928,Cidna,Strasbourg - Paris,Blériot Spad 66,0,F-Aehx,3,2,1,2,0,2,0,2,France,Crashed into high ground in fog.
1929,Varney Air Lines,"Boise, Id - Pasco, Wa",Stearman C-38,0,Nc1682,1,0,1,0,1,1,0,1,United States,While attempting to make an emergency landing on the Minam river the mail plane hit a bolder killing the pilot.
1929,Aeroespresso,Brindisi - Athens - Istanbul,Cmasa Wal,0,I-Azda,9,5,4,0,2,2,0,2,Greece,The passenger plane diverted off Kerkira in the Ionian Sea due to poor weather conditions and thunderstoms and sank in rough seas.
1929,Aeropostale,Agadir - Casablanca,Latecoere 26,0,"F-AimuF-Aimu",2,0,2,0,2,2,0,2,Morocco,"While cruising along the coast, the mail plane crashed into the Atlantic Ocean for unknown reasons."
1929,Colonial Western Airlines,Sightseeing,Ford 5-At-B Tri Motor,0,Nc7683,15,13,2,13,1,14,0,14,United States,The plane was making the last of a number of sightseeing flights when two of it's three engines failed. The plane stalled and went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure followed by a stall during an emergency landing attempt.
1929,New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-Viia,0,Nc7888,4,3,1,3,1,4,0,4,United States,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred."
1929,Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-At-B Tri-Motor / B-Pw-9D,1,Nc9636 / 28-037,6,3,3,3,3,6,0,6,United States,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent."
1929,Mexicana,"Tampico - Brownsville, Tx",Ford Tri-Motor 4,0,M-Scal,5,4,1,4,1,5,0,5,Mexico,"An engine failed, the plane stalled and crashed."
1929,Aeropostale,Algiers - Marseille,Cams 53,0,F-Aisx,6,3,3,3,2,5,0,5,Algeria,The plane collided with a submerged object while taking off.
1929,Pan American Airways,Santiago De Cuba - Havana,Fokker F-X,0,Nc9700,5,1,4,1,1,2,0,2,Cuba,"Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed. The plane was named ""Christopher Columbus""."
1929,Aeropostale,Janeiro - Buenos Aires,Breguet 14,0,F-Afej,2,0,2,0,1,1,0,1,Spain,"Took off, lost power and altitude and crashed into a telegraph tower."
1929,Imperial Airways,London - Paris - Basil - Zuric,Handley Page W-10,0,G-Ebmt,13,11,2,7,0,7,0,7,United Kingdom,"The plane was over the English Channel, approximately 3 miles offshore, when an engine failed. The pilot attempted to return to the airport but the plane ditched into the English Channel. Failure of a connecting rod on a cylinder due to fatigue.The plane was named ""City of Ottawa."""
1929,Northwest Orient Airlines,St. Paul - Minneapolis,Ford 5-At-B Tri-Motor,0,Nc7416,8,6,2,0,1,1,0,1,United States,All three engines failed shortly after takeoff causing the plane to stall and crash near Indian Mounds park.
1929,Deutsche Lufthansa,Frankfurt - Berlin,Fokker Fg Ii,0,D-757,5,4,1,3,1,4,0,4,Germany,The aorcraft hit a hill in fog and poor visibility.
1929,Trans Continental Air Transport,Albuquerque - Los Angeles,Ford 5-At-B Tri Motor,0,Nc9649,8,5,3,5,3,8,0,8,United States,"Shortly after departing the aircraft crashed into a Mt Taylor after encountering a thunderstorm and turbulence. The plane was named ""The City of San Francisco."""
1929,Imperial Airways,"London, England - India",De Havilland Dh-66 Hercules,0,G-Ebmz,5,2,3,1,2,3,0,3,Iran,"At night, the aircraft crashed short of the runway in low visibility."
1929,Aeropostale,"Toulouse, France - Casablanca, Morocco",Latecoere 25,0,F-Aiuj,6,4,2,4,2,6,0,6,North Atlantic Ocean,"Crashed at sea, 30 miles from Larache, Morocco for unknown reasons."
1929,Skyways,Sightseeing,Travel Air 6000,0,Cf-Abe,6,5,1,5,1,6,0,6,Canada,The aircraft went out of control and crashed for unknown reasons.
1929,Aeropostale,Toulouse - Perpignan - Barcelona - Alicante - Casablanca,Latecoere 25-3-R,0,F-Aiuj,5,3,2,3,2,5,0,5,Morocco,Crashed into the Mediterranean for unknown reasons.
1929,Imperial Airways,Naples - Genoa,Short Calcutta (Flying Boat),0,G-Aadn,7,5,2,5,2,7,0,7,Italy,"The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named ""City of Rome."""
1929,Bremerton-Seattle Air Taxi / Gorst Air Lines,Bremerton - Seattle,Loening C-2C,0,Nc9158,2,0,2,0,2,2,0,2,United States,The air taxi crashed into Puget Sound as it attempted to take off.
1929,Corp. Aeronautica De Transportes,Matamoros - Mexico City - Juarez,Lockheed Vega 5,0,Nc46M,4,3,1,3,1,4,0,4,Mexico,The mail plane crashed in dense fog.
1929,Deutsche Lufthansa,Croyden - Amsterdam - Berlin,Junkers G-24,0,D-903,8,4,4,3,4,7,0,7,United Kingdom,"After the plane's antenna wire struck the ground and was partially torn off, the pilot attempted to return to land but hit tree tops and crashed in rain and fog."
1929,Air Union,Marseille - Ajaccio - Tunis,Liore Et Olivier 190,0,F-Aigb,3,0,3,0,3,3,0,3,France,"While flying along the Corsican coast, the aircraft crashed into the Mediterranean in fog. No trace of the plane was ever found."
1929,S.A.M. Società Aerea Mediterranea,"Cagliari, Terranova - Rome",Savoia Marchetti S55,0,I-Taco,12,9,3,1,0,1,0,1,Italy,The plane crashed due to  an optical phenomenon caused by calm waters and an erroneous height assessment.
1929,Deutsche Lufthansa,Marseille - Berlin,Arado V1,0,D-1594,2,0,2,0,2,2,0,2,Germany,"In fog, the pilot lost his bearing in fog and crashed 60 km from the airport."
1930,Air Orient,Antananarivo - Paris,Farman 190,0,F-Ajjk,3,0,3,0,3,3,0,3,Madagascar,Crrashed moments after taking off from Port-Francqui.
1930,Maddux Airlines,"Aqua Caliente, Mexico - Los Angeles",Ford 5-At-C Tri Motor,0,Nc9689,16,14,2,14,2,16,0,16,United States,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control."
1930,Aeropostale,Casablanca - Alicante,Latecoere 25,0,F-Ajcl,2,0,2,0,2,2,0,2,Spain,Ran into thunderstorms and crashed into the sea.
1930,Colonial Air Transport,"Newark, Nj - Hartford, Ct",Pitcairn Pa-6 Mailwing,0,Nc801H,1,0,1,0,1,1,0,1,United States,While attempting to land the plane struck a building and fell into the Connecticut river.
1930,Air Union,Paris - Croydon,Farman F-63,0,F-Fhmy,6,3,3,2,0,2,0,2,United Kingdom,"While attempting to land in snow, the plane rose up, stalled and crashed. Fatigue of the upper front strut of the right tail which failed in flight, causing the spar to fail as well."
1930,Canadian Colonial Airways,"Albany, Ny - Jersey City, Nj",Fairchild 71,0,Nc9148,4,3,1,3,1,4,0,4,United States,Crashed into power lines 150 feet above the ground in fog.
1930,Aeropostale,Buenos Aires - Montevideo,Latecoere 28,0,F-Ajpd,4,2,2,1,2,3,0,3,Argentina,"While flying in foggy conditions at night, the captain lowered his altitude, hit a wave and fiipped over."
1930,Colonial Air Transport,Boston - Newark,Ford Tri-Motor 5,0,Nc9675,15,13,2,1,0,1,0,1,United States,Crashed into Boston Harbor after losing the right  engine on takeoff.
1930,Deutsche Lufthansa,Stettin - Norway,Dornier Wal,0,D-864,8,5,3,4,1,5,0,5,Denmark,"The flying boat landed in a storm in the open ocean due to engine failure. After three hours, the plane was  capsized by a large wave while under tow."
1930,Cross Airways,Port Aransas - Kansas City,Lockheed Vega 5,0,Nc-394H,5,4,1,4,1,5,0,5,United States,"The aircraft exploded in the air at an altitude of 4,000 feet shortly after taking off. The plane was flying in an area of fog and thunderstorms."
1930,Walcot Air Line,"London - Le Touquet, France",Junkers F-13Ge,0,G-Aazk,6,4,2,4,2,6,0,6,United Kingdom,The plane crashed about 10 miles from it's destination. Possible buffeting or irregular ocillation of the horizontal stabilizer leading to separation of the left stabilizer.
1930,Ceskoslovenske Aerolinie,Prague - Bratislava,Ford 5-At-C Tri Motor,0,Ok-For,11,10,1,9,1,10,0,10,Czechoslovakia,Crashed when the pilot made a sharp turn to avoid a chimney and lost control of the aircraft.
1930,Sabena,Croydon - Brussels,Sabca F-Vii,0,Oo-Ain,2,0,2,0,2,2,0,2,United Kingdom,The plane caught on file shortly after taking off from Croydon.
1930,Western Canada Airways,Calgary - Moosejaw,Boeing 40,0,Cf-Ain,3,2,1,2,1,3,0,3,Canada,The air mail plane crashed in fog  while attempting to land in fog.
1930,Deutsche Lufthansa,Berlin - Vienna,Messerschmitt M-20B,0,D-1930,8,6,2,6,2,8,0,8,Germany,Crashed into hill while attempting to land after running into a strong gust of wind..
1930,Aeropostale,Casablanca - Bahat - Toulouse,Latecoere 28,0,F-Ajuu,4,3,1,3,1,4,0,4,Morocco,The french postal plane crashed into mountains.
1930,Imperial Airways,"Paris, France - London, England",Handley Page W-8,0,G-Ebix,6,3,3,2,1,3,0,3,France,"Crashed into high ground in fog after losing an engine. The plane was named ""City of Washington."""
1930,Syndicato Condor,Porto Alegre - Laguna - Rio De Janeiro,Junkers G-24,0,P-Baha,9,8,1,1,0,1,0,1,Brazil,Crashed into the sea.
1931,Sabena,Brussels - London,Fokker F-Vii,0,Oo-Ail,2,0,2,0,2,2,0,2,Belgium,"After deciding to return to his base because of fog, the pilot of the mail plane  lowered his altitude and struck the ground."
1931,Varney Air Lines,Portland - Pasco,Boeing 40,0,Nc741K,1,0,1,0,1,1,0,1,United States,The mail plane flew into Bluff Mountain in dense fog.
1931,Dominion Air Lines,Gisborne - Hastings,Desoutter Ii,0,Zk-Aca,3,2,1,2,1,3,0,3,New Zealand,While droping a mail bag the plane stalled and crashed.
1931,Aeropostale,Algiers – Marseille,Latecoere 32,0,F-Aitx,3,0,3,0,1,1,0,1,Spain,Crashed due to fuel exhaustion after encountering strong headwinds and getting lost.
1931,Australian National Airways,Sydney - Melbourne,Avro 10,0,Vh-Umf,8,6,2,6,2,8,0,8,Australia,Crashed in the Snowy Mountains in poor weather conditions. Wreckage found 10/26/1958.
1931,Trans Continental And Western Air,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,0,Nc-999,8,6,2,6,2,8,0,8,United States,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed."
1931,Pacific Air Transport,San Diego - Los Angeles,Boeing 40,0,Nc5390,2,0,2,0,2,2,0,2,United States,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.
1931,Guiena Airways,Lae - Bulolo,Junkers W-34,0,Vh-Unr,1,0,1,0,1,1,0,1,Australia,Hit trees in fog and cashed into the jungle.
1931,Air Orient,Saigon - Karachi,Fokker F-Viib,0,Ph-Aeo,4,0,4,0,4,4,0,4,Myanmar,Crashed into a trees and fell into a river 50 km south of Sandoway after experiencing engine trouble while attempting to land at Sandoway in poor visibility and monsoon conditions.
1931,Deutsche Lufthansa,Cologne - Saarbrucken,Dornier Merkur,0,D-1455,4,2,2,2,2,4,0,4,Germany,"After circling in fog for half an hour, the plane rose to about 300 ft. and nose dived into the ground and burst into flames. Engine failure."
1931,Braniff Airlines,Chicago - Detroit,Lockheed Vega,0,Nc8497,2,0,2,0,2,2,0,2,United States,Engine quit while taking off. The plane crashed from a height of 700 feet. The pilot tried to return to the airport  by banking to the right but did not have sufficient altitude to recover.
